Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0402_1005Metric",-15.865900,19.177000,-60.000000,bottom
"C2","0.1uF","C_0402_1005Metric",-14.986000,19.685000,-60.000000,bottom
"C3","4.7uF","C_0402_1005Metric",14.468900,16.637000,60.000000,bottom
"C4","0.1uF","C_0402_1005Metric",13.589000,17.145000,60.000000,bottom
"C5","4.7uF","C_0402_1005Metric",15.962100,-19.263200,120.000000,bottom
"C6","0.1uF","C_0402_1005Metric",15.082200,-19.771200,120.000000,bottom
"C7","0.1uF","C_0402_1005Metric",-14.351000,-16.510000,-120.000000,bottom
"C8","4.7uF","C_0402_1005Metric",-13.471100,-17.018000,-120.000000,bottom
"J1","CLP-103-02-F-D-BE","CONN_CLP-103-02-X-D-BE_SAI",16.000000,0.000000,180.000000,bottom
"J2","CLP-103-02-F-D-BE","CONN_CLP-103-02-X-D-BE_SAI",-16.000000,0.000000,180.000000,bottom
"K1","IRLHS6376TRPBF","PQFN6_IRLHS6376TRPBF_INF",22.935400,0.137900,180.000000,bottom
"K2","IRLHS6376TRPBF","PQFN6_IRLHS6376TRPBF_INF",-23.064600,0.137900,180.000000,bottom
"R1","CRM1206-JW-1R0ELF","BO_CR1206",3.429000,22.860000,-105.000000,bottom
"R2","CRM1206-JW-1R0ELF","BO_CR1206",5.952800,22.216300,-105.000000,bottom
"R3","354010RFT","RES_3540_TEC",19.918600,11.500000,120.000000,bottom
"R4","CRM1206-JW-1R0ELF","BO_CR1206",3.324100,-22.860000,-75.000000,bottom
"R5","CRM1206-JW-1R0ELF","BO_CR1206",5.952800,-22.216300,-75.000000,bottom
"R6","354010RFT","RES_3540_TEC",19.918584,-11.500000,-120.000000,bottom
"R7","CRM1206-JW-1R0ELF","BO_CR1206",-3.556000,22.860000,105.000000,bottom
"R8","CRM1206-JW-1R0ELF","BO_CR1206",-5.952800,22.216300,105.000000,bottom
"R9","354010RFT","RES_3540_TEC",-19.918584,11.500000,60.000000,bottom
"R10","CRM1206-JW-1R0ELF","BO_CR1206",-3.556000,-22.860000,75.000000,bottom
"R11","CRM1206-JW-1R0ELF","BO_CR1206",-5.952800,-22.216300,75.000000,bottom
"R12","354010RFT","RES_3540_TEC",-19.918584,-11.500000,120.000000,bottom
"R14","1","R_0402_1005Metric",25.654000,0.000000,180.000000,bottom
"R15","1","R_0402_1005Metric",19.939000,0.635000,180.000000,bottom
"R16","1","R_0402_1005Metric",-20.066000,-0.635000,180.000000,bottom
"R17","1","R_0402_1005Metric",-25.781000,0.000000,180.000000,bottom
"U1","TL4242TDRJRQ1","DRJ8_3X2P2",11.500000,19.918600,-30.000000,bottom
"U2","TL4242TDRJRQ1","DRJ8_3X2P2",11.500000,-19.918600,30.000000,bottom
"U3","TL4242TDRJRQ1","DRJ8_3X2P2",-11.500000,19.918600,-150.000000,bottom
"U4","TL4242TDRJRQ1","DRJ8_3X2P2",-11.500000,-19.918600,150.000000,bottom
