Ref,Val,Package,PosX,PosY,Rot,Side
"C9","100nF","C_0402_1005Metric",-3.391000,-15.240000,90.000000,top
"C10","4700nF","C_0402_1005Metric",-4.407000,-15.212000,90.000000,top
"LED1","XPEBRY-L1-R250-00P01","HFS_LED",5.888200,22.354200,-15.000000,top
"LED2","XPEBRY-L1-R250-00P01","HFS_LED",16.198900,16.401400,-45.000000,top
"LED3","XPEBRY-L1-R250-00P01","HFS_LED",22.151700,6.090800,-75.000000,top
"LED4","XPEBRY-L1-R250-00P01","HFS_LED",22.151700,-5.814900,75.000000,top
"LED5","XPEBRY-L1-R250-00P01","HFS_LED",16.198900,-16.125500,45.000000,top
"LED6","XPEBRY-L1-R250-00P01","HFS_LED",5.888200,-22.078400,15.000000,top
"LED7","XPEBRY-L1-R250-00P01","HFS_LED",-6.017400,22.354200,-165.000000,top
"LED8","XPEBRY-L1-R250-00P01","HFS_LED",-16.328100,16.401400,-135.000000,top
"LED9","XPEBRY-L1-R250-00P01","HFS_LED",-22.280900,6.090800,-105.000000,top
"LED10","XPEBRY-L1-R250-00P01","HFS_LED",-22.280900,-5.814900,105.000000,top
"LED11","XPEBRY-L1-R250-00P01","HFS_LED",-16.328000,-16.125500,135.000000,top
"LED12","XPEBRY-L1-R250-00P01","HFS_LED",-6.017400,-22.078400,165.000000,top
"R13","1k","R_0402_1005Metric",3.429000,-14.732000,90.000000,top
"U5","VL53L0CXV0DH/1","LGA12_STM",0.000000,-15.240000,0.000000,top
