"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"USBC-12402012E212A";1;"12402012E212A";;;
2;"PD1";"TO-8-3_Window";1;"ODD-42W";;;
3;"FB2,FB4,FB1,FB3";"L_0402_1005Metric";4;"1k @ 100MHz";;;
4;"S2,S1,S3";"219-2MSTR";3;"219-2MSTR";;;
5;"U1";"TSSOP-14_4.4x5mm_P0.65mm";1;"MCP45HV51-104E/ST";;;
6;"R6";"R_0402_1005Metric";1;"2.2k";;;
7;"C9,C6,C3,C8,C11,C12,C32,C13,C7,C4,C14,C10,C33,C17,C5,C16";"C_0402_1005Metric";16;"100nF";;;
8;"C18,C26,C1";"C_0805_2012Metric";3;"10uF";;;
9;"C15,C22,C29,C21,C24";"C_0402_1005Metric";5;"1uF";;;
10;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AD620ARZ-REEL7";;;
11;"D3";"LED_0603_1608Metric";1;"RX";;;
12;"R9,R5,R8";"R_0402_1005Metric";3;"15k";;;
13;"R24,R25,R1";"R_0402_1005Metric";3;"1k";;;
14;"R12,R13";"R_0402_1005Metric";2;"1Meg";;;
15;"R2";"R_0402_1005Metric";1;"590";;;
16;"R3";"R_0402_1005Metric";1;"1670";;;
17;"TP3";"TestPoint_Pad_D1.0mm";1;"DOUT";;;
18;"R14,R22";"R_0402_1005Metric";2;"20k";;;
19;"U6";"SOIC-8_3.9x4.9mm_P1.27mm";1;"OP27GSZ-REEL7";;;
20;"R11";"R_0402_1005Metric";1;"6.3k";;;
21;"CR1";"SOT-23-6_Handsoldering";1;"SRV05-4L-TP";;;
22;"J6";"PinSocket_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
23;"R4";"R_0402_1005Metric";1;"5490";;;
24;"U2";"TSSOP-14_4.4x5mm_P0.65mm";1;"ADG1404YRUZ";;;
25;"C27";"C_0402_1005Metric";1;"0.002uF";;;
26;"D2";"LED_0603_1608Metric";1;"TX";;;
27;"TP4";"TestPoint_Pad_D1.0mm";1;"P0B";;;
28;"R15,R16,R7,R18,R19";"R_0402_1005Metric";5;"10k";;;
29;"U3";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"AD630ARZ";;;
30;"U7";"DFN-8-1EP_2x3mm_P0.5mm_EP0.61x2.2mm";1;"LTC2453IDDB#TRMPBF";;;
31;"C23,C25,C30";"C_0603_1608Metric";3;"2.2uF";;;
32;"J1";"PJ-002A";1;"PJ-002A";;;
33;"D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
34;"C31,C28";"C_1210_3225Metric";2;"100uF";;;
35;"U13";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"LT1054IDWR";;;
36;"R10,R21,R20";"R_0402_1005Metric";3;"5.6k";;;
37;"R23";"R_0402_1005Metric";1;"220k";;;
38;"CR2";"D_SOD-123F";1;"MMSZ5231B";;;
39;"U10";"SOT-363_SC-70-6";1;"BC846AS-7";;;
40;"U14";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias_Expanded";1;"TLV76733DRVR";;;
41;"TP1";"TestPoint_Pad_D1.0mm";1;"RX";;;
42;"TP2";"TestPoint_Pad_D1.0mm";1;"TX";;;
43;"U11";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias_Expanded";1;"TLV76750DRVR";;;
44;"R17";"R_0402_1005Metric";1;"200k";;;
45;"U8";"WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm";1;"FUSB302B11MPX";;;
46;"CR3";"D_SOD-123";1;"MMSZ5226B-7-F";;;
47;"U12";"VSSOP-8_2.3x2mm_P0.5mm";1;"PCA9306DCUR";;;
48;"C20,C19";"C_0402_1005Metric";2;"200pF";;;
49;"U9";"MODULE_ESP32-C3-WROOM-02-H4";1;"ESP32-C3-WROOM-02-N4";;;
50;"J4,J7";"PinHeader_2x03_P1.27mm_Vertical";2;"Conn_02x03_Odd_Even";;;
51;"U15";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias_2x2";1;"CP2102N-A02-GQFN24R";;;
