Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",19.000000,-7.175000,0.000000,bottom
"C19","200pF","C_0402_1005Metric",19.400000,-12.700000,-90.000000,bottom
"C20","200pF","C_0402_1005Metric",21.900000,-7.600000,-90.000000,bottom
"C21","1uF","C_0402_1005Metric",24.250000,1.425000,90.000000,bottom
"C24","1uF","C_0402_1005Metric",15.700000,4.650000,90.000000,bottom
"C25","2.2uF","C_0603_1608Metric",11.750000,4.650000,-90.000000,bottom
"C29","1uF","C_0402_1005Metric",-15.400000,-11.350000,90.000000,bottom
"C30","2.2uF","C_0603_1608Metric",-16.400000,-9.400000,180.000000,bottom
"CR2","MMSZ5231B","D_SOD-123F",20.400000,11.400000,180.000000,bottom
"CR3","MMSZ5226B-7-F","D_SOD-123",20.600000,8.700000,180.000000,bottom
"J4","Conn_02x03_Odd_Even","PinHeader_2x03_P1.27mm_Vertical",17.275000,-0.625000,90.000000,bottom
"J7","Conn_02x03_Odd_Even","PinHeader_2x03_P1.27mm_Vertical",-14.725000,-0.625000,90.000000,bottom
"PD1","ODD-42W","TO-8-3_Window",-2.517300,-2.503158,45.000000,bottom
"R1","1k","R_0402_1005Metric",19.400000,-10.200000,-90.000000,bottom
"R17","200k","R_0402_1005Metric",25.000000,3.100000,180.000000,bottom
"R18","10k","R_0402_1005Metric",8.800000,-6.500000,-90.000000,bottom
"R19","10k","R_0402_1005Metric",13.700000,-6.500000,-90.000000,bottom
"R20","5.6k","R_0402_1005Metric",22.750000,4.350000,0.000000,bottom
"R21","5.6k","R_0402_1005Metric",22.800000,3.100000,0.000000,bottom
"U8","FUSB302B11MPX","WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm",22.260000,-11.037500,-90.000000,bottom
"U9","ESP32-C3-WROOM-02-N4","MODULE_ESP32-C3-WROOM-02-H4",0.000000,-19.300000,0.000000,bottom
"U10","BC846AS-7","SOT-363_SC-70-6",11.250000,-6.500000,90.000000,bottom
"U11","TLV76750DRVR","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias_Expanded",13.750000,4.650000,-90.000000,bottom
"U12","PCA9306DCUR","VSSOP-8_2.3x2mm_P0.5mm",22.000000,0.000000,90.000000,bottom
"U14","TLV76733DRVR","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias_Expanded",-13.250000,-10.356250,-90.000000,bottom
"U15","CP2102N-A02-GQFN24R","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias_2x2",15.700000,-11.300000,-90.000000,bottom
