null,Sourced,Placed,References,Value,Footprint,Quantity,Digikey part num,Digikey website
1,,,"C1, C3, C5, C8, C10",4700nF,C_0402_1005Metric,5,490-5915-1-ND,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R60J475ME47D/3694656
2,,,"C2, C4, C6, C7, C9",100nF,C_0402_1005Metric,5,490-10700-1-ND ,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R71H104KE14D/4906220
3,,,"R1, R2, R4, R5, R7, R8, R10, R11",CRM1206-JW-1R0ELF,BO_CR1206,8,CRM1206-JW-1R0ELFCT-ND,https://www.digikey.com/en/products/detail/bourns-inc/CRM1206-JW-1R0ELF/3593199?s=N4IgTCBcDaIMICUCyBGMAGAbAWgFIHVsUF0BRAGQDEQBdAXyA
4,,,"R3, R6, R9, R12",354010RFT,RES_3540_TEC,4,A143401CT-ND,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/354010RFT/9926827?s=N4IgTCBcDaIMwFYAsAGAjCgSgMQCogF0BfIA
5,,,"R14, R15, R16, R17",1,R_0402_1005Metric,4,311-1.00LRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0402FR-071RL/726514
6,,,R13,1k,R_0402_1005Metric,1,311-1.00KLRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0402FR-071KL/726513
7,,,"U1, U2, U3, U4",TL4242TDRJRQ1,DRJ8_3X2P2,4,296-27713-1-ND,https://www.digikey.com/en/products/detail/texas-instruments/TL4242TDRJRQ1/2356123?s=N4IgTCBcDaICoBkAsYVwCICUBSmCKAjCALoC%2BQA
8,,,U5,VL53L0CXV0DH/1,LGA12_STM,1,497-16538-1-ND,https://www.digikey.com/en/products/detail/stmicroelectronics/VL53L0CXV0DH-1/6023691?s=N4IgTCBcDaIGoBkCsBmBAGAwgDTugIgBID0AjCALoC%2BQA
9,,,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12",XPEBRY-L1-R250-00P01,HFS_LED,12,XPEBRY-L1-R250-00P01CT-ND,https://www.digikey.com/en/products/detail/creeled-inc/XPEBRY-L1-R250-00P01/4111290?s=N4IgTCBcDaIBoAUCiAhASgTQLQBkCMWaYArAAxamkKl4gC6AvkA
10,,,"K1, K2",IRLHS6376TRPBF,PQFN6_IRLHS6376TRPBF_INF,2,IRLHS6376TRPBFCT-ND,https://www.digikey.com/en/products/detail/infineon-technologies/IRLHS6376TRPBF/2605744?s=N4IgTCBcDaIJICUAyAJAygNgMwHYMBUEAFAIQDEQBdAXyA
11,,,"J1, J2",CLP-103-02-F-D-BE,CONN_CLP-103-02-X-D-BE_SAI,2,SAM12486-ND,https://www.digikey.com/en/products/detail/samtec-inc/CLP-103-02-F-D-BE/6692372
