null,Sourced,Placed,References,Value,Footprint,Quantity,Manufactor num,Digitkey
1,,,"C4, C8, C13",1uF,C_0402_1005Metric,3,CL05A105KP5NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A105KP5NNNC/3886734
2,,,"C6, C7, C9",100nF,C_0402_1005Metric,3,CL05A104KA5NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A104KA5NNNC/3886701
3,,,"C1, C11",10uF,C_0402_1005Metric,2,CL05X106MR5NUNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05X106MR5NUNC/5961263
4,,,"C2, C3",200pF,C_0402_1005Metric,2,C0402C201J5GAC7867,https://www.digikey.com/en/products/detail/kemet/C0402C201J5GAC7867/2196422
5,,,"C5, C10, C14",2.2uF,C_0402_1005Metric,2,CL05A225KP5NSNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A225KP5NSNC/3886766
6,,,C12,0.002uF,C_0402_1005Metric,1,CL21B202KBANNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B202KBANNNC/3888129
7,,,C15,100uF,C_0402_1005Metric,1,CL05A104KA5NNNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A104KA5NNNC/3886701
8,,,"R2, R3, R7, R19, R20",10k,R_0402_1005Metric,5,RC1005F103CS,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/RC1005F103CS/3903439
9,,,"R9, R13, R14",1M,R_0402_1005Metric,3,CRGCQ0402J1M0,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGCQ0402J1M0/8576668
10,,,"R1, R8",1k,R_0402_1005Metric,2,RC0402FR-071KL,https://www.digikey.com/en/products/detail/yageo/RC0402FR-071KL/726513
11,,,"R15, R18",20k,R_0402_1005Metric,2,RC0402FR-0720RL,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0720RL/2827605
12,,,R4,9880,R_0805_2012Metric,1,TNPW08059K88BEEN,https://www.digikey.com/en/products/detail/vishay-dale/TNPW08059K88BEEN/4271757
13,,,R5,16466.666,R_0805_2012Metric,1,TNPW080516K5BEEA,https://www.digikey.com/en/products/detail/vishay-dale/TNPW080516K5BEEA/1607419
14,,,R6,49400,R_0805_2012Metric,1,TNPW080549K3BEEN,https://www.digikey.com/en/products/detail/vishay-dale/TNPW080549K3BEEN/7656968
15,,,R10,100k,R_0402_1005Metric,1,RC0402FR-07100KL,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100KL/726526
16,,,R11,6.66K,R_0402_1005Metric,1,RC0402FR-076K65L,https://www.digikey.com/en/products/detail/yageo/RC0402FR-076K65L/5281079
17,,,R12,7K,R_0402_1005Metric,1,RC0402FR-076K98L,https://www.digikey.com/en/products/detail/yageo/RC0402FR-076K98L/5281080
18,,,R16,220k,R_0402_1005Metric,1,RC0402FR-07220KL,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07220KL/726564
19,,,R17,0,R_0805_2012Metric,1,RMCF0805ZT0R00,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805ZT0R00/1756901
