Designator,Footprint,Quantity,Value,Manufacturer Part #
"C1, C11, C17",402,3,10uF,
"C10, C14, C5",402,3,2.2uF,
C12,402,1,0.002uF,
"C13, C18, C4, C8",402,4,1uF,
C15,402,1,100uF,
"C16, C9",402,2,0.1uF,
"C2, C3",402,2,200pF,
"C6, C7",402,2,100nF,
C31,,,Do Not Place,
CR1,SOD123_FAS,1,MMSZ5231B,
CR2,SOD123_DIO,1,MMSZ5226B-7-F,
CR3,SOT23-6L_MCC,1,SRV05-4L-TP,
"FB1, FB2, FB3, FB4",402,4,1k @ 100MHz,
J1,CUI_PJ-036AH-SMT-TR,1,PJ-036AH-SMT-TR,
J2,AMPHENOL_12401598E4#2A,1,12401598E4-2A,
"J3, J4",SAMTEC_FTSH-103-01-L-DH-C-TR,2,FTSH-103-01-L-DH-C-TR,
"J5, J6",CONN_PPTC041LFBN-RC_SUL,2,PPTC041LFBN-RC,
PD1,ODD-42W-Side,1,~,
"R1, R8",402,2,1k,
R10,402,1,100k,
R11,402,1,6.8K,RT0402BRD076K8L
R12,402,1,7K,
"R13, R14, R9",402,3,1M,
"R15, R18",402,2,20k,
R16,402,1,220k,
R17,805,1,0,
"R19, R2, R20, R3, R7",402,5,10k,
R4,805,1,9880,
R5,805,1,16466.666,
R6,805,1,49400,
"S1, S2, S3",SW_219-2MSTR,3,219-2MSTR,
U1,IC18_ESP32-C3-WROOM-02-N4_EXP,1,ESP32-C3-WROOM-02-N4,
U10,DFN-8_DDB_LIT,1,LTC2453IDDB-TRMPBF,
U11,DW16,1,LT1054IDWR,
U12,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76750DRVx,
U13,4492_ADA,1,4492,
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U3,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302B11MPX,
U4,SOT6_BC846AS-7_DIO,1,BC846AS-7,
U5,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76733DRVx,
U6,DRY6,1,SN74LVC1G58DRYR,
U7,R_8_ADI,1,AD620ARZ-REEL7,
U8,SOIC-20W_7.5x12.8mm_P1.27mm,1,AD630ARZ,
U9,R_8_ADI,1,OP27GSZ-REEL7,
