Designator,Mid X,Mid Y,Rotation,Layer
C1,-7.8943,-33.1951,180.0,top
C10,-4.316,-27.94,180.0,bottom
C11,-13.462,-21.336,0.0,bottom
C12,-4.288,-25.4,0.0,bottom
C13,6.858,-39.986,180.0,bottom
C14,4.318,-38.142,90.0,bottom
C15,-4.824,-23.622,90.0,bottom
C16,-8.438,-49.4,180.0,bottom
C17,-8.41,-50.546,180.0,bottom
C18,-8.438,-51.562,180.0,bottom
C2,12.34,-39.617,270.0,top
C3,17.42,-40.005,270.0,top
C4,5.1095,-48.33,180.0,top
C5,2.7955,-46.58,270.0,top
C6,13.49,-24.13,180.0,bottom
C7,13.49,-25.146,180.0,bottom
C8,7.366,-34.29,270.0,bottom
C9,8.636,-34.29,270.0,bottom
CR1,9.398,-10.668,90.0,bottom
CR2,15.24,-21.082,0.0,bottom
CR3,13.97,-48.26,270.0,bottom
FB1,-17.272,-19.304,270.0,bottom
FB2,-16.002,-19.327,270.0,bottom
FB3,-4.064,-10.922,0.0,bottom
FB4,6.858,-10.922,180.0,bottom
J1,2.988,-26.628,180.0,top
J2,9.056,-48.088,90.0,top
J3,16.0,0.0,0.0,top
J4,-16.0,0.0,0.0,top
J5,-10.16,-57.785,180.0,top
J6,2.54,-57.785,180.0,top
PD1,0.0,-2.54,0.0,top
R1,-5.8903,-33.1951,180.0,top
R10,11.684,-30.736,270.0,bottom
R11,9.906,-18.034,270.0,bottom
R12,8.89,-18.034,270.0,bottom
R13,15.522,-24.13,180.0,bottom
R14,15.522,-25.146,180.0,bottom
R15,-4.316,-26.67,0.0,bottom
R16,-3.683,-23.622,270.0,bottom
R17,12.8035,-33.02,180.0,bottom
R18,8.89,-15.238,90.0,bottom
R19,9.906,-15.24,90.0,bottom
R2,0.51,-30.48,0.0,top
R20,-9.934,-51.054,270.0,bottom
R3,0.635,-34.29,0.0,top
R4,-17.716053,-13.120144,270.0,bottom
R5,-15.755548,-13.13122,270.0,bottom
R6,-13.716,-13.1045,90.0,bottom
R7,2.032,-10.922,0.0,bottom
R8,4.318,-10.922,180.0,bottom
R9,11.684,-28.704,270.0,bottom
S1,-12.7,-24.765,90.0,top
S2,-9.144,-14.732,270.0,bottom
S3,14.986,-13.97,90.0,bottom
U1,-8.5,-45.606,90.0,top
U10,5.016401,-34.532001,180.0,bottom
U11,-11.938,-27.94,0.0,bottom
U12,6.35,-38.1,0.0,bottom
U13,5.334,-53.594,0.0,top
U2,-4.7103,-29.3851,0.0,top
U3,14.88,-39.645,180.0,top
U4,0.635,-32.385,180.0,top
U5,4.8275,-46.34,0.0,top
U6,-11.938,-11.684,0.0,top
U7,-2.286,-15.494,270.0,bottom
U8,4.064,-25.986,270.0,bottom
U9,4.318,-15.494,270.0,bottom
