Ref,Val,Package,PosX,PosY,Rot,Side
"C6","100nF","C_0402_1005Metric",13.490000,-24.130000,180.000000,bottom
"C7","100nF","C_0402_1005Metric",13.490000,-25.146000,180.000000,bottom
"C8","1uF","C_0402_1005Metric",7.366000,-34.290000,-90.000000,bottom
"C9","0.1uF","C_0402_1005Metric",8.636000,-34.290000,-90.000000,bottom
"C10","2.2uF","C_0402_1005Metric",-4.316000,-27.940000,180.000000,bottom
"C11","10uF","C_0402_1005Metric",-13.462000,-21.336000,0.000000,bottom
"C12","0.002uF","C_0402_1005Metric",-4.288000,-25.400000,0.000000,bottom
"C13","1uF","C_0402_1005Metric",6.858000,-39.986000,180.000000,bottom
"C14","2.2uF","C_0402_1005Metric",4.318000,-38.142000,90.000000,bottom
"C15","100uF","C_0402_1005Metric",-4.824000,-23.622000,90.000000,bottom
"C16","0.1uF","C_0402_1005Metric",-8.438000,-49.400000,180.000000,bottom
"C17","10uF","C_0402_1005Metric",-8.410000,-50.546000,180.000000,bottom
"C18","1uF","C_0402_1005Metric",-8.438000,-51.562000,180.000000,bottom
"CR1","MMSZ5231B","SOD123_FAS",9.398000,-10.668000,90.000000,bottom
"CR2","MMSZ5226B-7-F","SOD123_DIO",15.240000,-21.082000,0.000000,bottom
"CR3","SRV05-4L-TP","SOT23-6L_MCC",13.970000,-48.260000,-90.000000,bottom
"FB1","1k @ 100MHz","L_0402_1005Metric",-17.272000,-19.304000,-90.000000,bottom
"FB2","1k @ 100MHz","L_0402_1005Metric",-16.002000,-19.327000,-90.000000,bottom
"FB3","1k @ 100MHz","L_0402_1005Metric",-4.064000,-10.922000,0.000000,bottom
"FB4","1k @ 100MHz","L_0402_1005Metric",6.858000,-10.922000,180.000000,bottom
"R4","9880","R_0805_2012Metric",-17.716053,-13.120144,-90.000000,bottom
"R5","16466.666","R_0805_2012Metric",-15.755548,-13.131220,-90.000000,bottom
"R6","49400","R_0805_2012Metric",-13.716000,-13.104500,90.000000,bottom
"R7","10k","R_0402_1005Metric",2.032000,-10.922000,0.000000,bottom
"R8","1k","R_0402_1005Metric",4.318000,-10.922000,180.000000,bottom
"R9","1M","R_0402_1005Metric",11.684000,-28.704000,-90.000000,bottom
"R10","100k","R_0402_1005Metric",11.684000,-30.736000,-90.000000,bottom
"R11","6.66K","R_0402_1005Metric",9.906000,-18.034000,-90.000000,bottom
"R12","7K","R_0402_1005Metric",8.890000,-18.034000,-90.000000,bottom
"R13","1M","R_0402_1005Metric",15.522000,-24.130000,180.000000,bottom
"R14","1M","R_0402_1005Metric",15.522000,-25.146000,180.000000,bottom
"R15","20k","R_0402_1005Metric",-4.316000,-26.670000,0.000000,bottom
"R16","220k","R_0402_1005Metric",-3.683000,-23.622000,-90.000000,bottom
"R17","0","R_0805_2012Metric",12.803500,-33.020000,180.000000,bottom
"R18","20k","R_0402_1005Metric",8.890000,-15.238000,90.000000,bottom
"R19","10k","R_0402_1005Metric",9.906000,-15.240000,90.000000,bottom
"R20","10k","R_0402_1005Metric",-9.934000,-51.054000,-90.000000,bottom
"S2","219-2MSTR","SW_219-2MSTR",-9.144000,-14.732000,-90.000000,bottom
"S3","219-2MSTR","SW_219-2MSTR",14.986000,-13.970000,90.000000,bottom
"U7","AD620ARZ-REEL7","R_8_ADI",-2.286000,-15.494000,-90.000000,bottom
"U8","AD630ARZ","SOIC-20W_7.5x12.8mm_P1.27mm",4.064000,-25.986000,-90.000000,bottom
"U9","OP27GSZ-REEL7","R_8_ADI",4.318000,-15.494000,-90.000000,bottom
"U10","LTC2453IDDB-TRMPBF","DFN-8_DDB_LIT",5.016401,-34.532001,180.000000,bottom
"U11","LT1054IDWR","DW16",-11.938000,-27.940000,0.000000,bottom
"U12","TLV76750DRVx","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias",6.350000,-38.100000,0.000000,bottom
"C1","10uF","C_0402_1005Metric",-7.894300,-33.195100,180.000000,top
"C2","200pF","C_0402_1005Metric",12.340000,-39.617000,-90.000000,top
"C3","200pF","C_0402_1005Metric",17.420000,-40.005000,-90.000000,top
"C4","1uF","C_0402_1005Metric",5.109500,-48.330000,180.000000,top
"C5","2.2uF","C_0402_1005Metric",2.795500,-46.580000,-90.000000,top
"J1","PJ-036AH-SMT-TR","CUI_PJ-036AH-SMT-TR",2.988000,-26.628000,180.000000,top
"J2","12401598E4-2A","AMPHENOL_12401598E4#2A",9.056000,-48.088000,90.000000,top
"J3","FTSH-103-01-L-DH-C-TR","SAMTEC_FTSH-103-01-L-DH-C-TR",16.000000,0.000000,0.000000,top
"J4","FTSH-103-01-L-DH-C-TR","SAMTEC_FTSH-103-01-L-DH-C-TR",-16.000000,0.000000,0.000000,top
"J5","PPTC041LFBN-RC","CONN_PPTC041LFBN-RC_SUL",-10.160000,-57.785000,180.000000,top
"J6","PPTC041LFBN-RC","CONN_PPTC041LFBN-RC_SUL",2.540000,-57.785000,180.000000,top
"PD1","~","ODD-42W-Side",0.000000,-2.540000,0.000000,top
"R1","1k","R_0402_1005Metric",-5.890300,-33.195100,180.000000,top
"R2","10k","R_0402_1005Metric",0.510000,-30.480000,0.000000,top
"R3","10k","R_0402_1005Metric",0.635000,-34.290000,0.000000,top
"S1","219-2MSTR","SW_219-2MSTR",-12.700000,-24.765000,90.000000,top
"U1","ESP32-C3-WROOM-02-N4","IC18_ESP32-C3-WROOM-02-N4_EXP",-8.500000,-45.606000,90.000000,top
"U2","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",-4.710300,-29.385100,0.000000,top
"U3","FUSB302B11MPX","WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm",14.880000,-39.645000,180.000000,top
"U4","BC846AS-7","SOT6_BC846AS-7_DIO",0.635000,-32.385000,180.000000,top
