Height (mm),Microcontroller Value,Sensing Area (mm2),Average Flux (umol/m2*s),Standard Deviation of Flux (umol/m2*s),Sensing Area (mm2),Normalized ChlF (%),Constant (K),Fluorescence Quantum Yield,Photodiode Current (uA),Photodiode Voltage (mV),Total Canopy Flux (umol/m2*s),Photodiode Ideal Power (mW),Normalized ChlF,Estimated Fluorescence Quantum Yield
0,4095,4185.386813,11969.64091,5821.26533,4185.386813,1,218929.0792,0.001258974,0.006967237,0.696723671,50097577.21,13.83514437,1,0.000912553
5,4095,4800.110896,11049.27742,5166.878624,4800.110896,1,227595.9443,0.001339235,0.006967237,0.696723671,53037756.91,13.00600176,1,0.001046583
10,4095,5456.939368,10035.79457,4837.599161,5456.939368,1,230992.9613,0.001449297,0.006967237,0.696723671,54764722.49,12.01830465,1,0.001189793
15,4095,6155.872229,9077.344016,4674.557117,6155.872229,1,232147.2793,0.001578221,0.006967237,0.696723671,55878969.95,11.03653867,1,0.001342184
20,4095,6896.90948,8230.229689,4682.193065,6896.90948,1,232051.7115,0.001712843,0.006967237,0.696723671,56763149.16,10.1691104,1,0.001503755
25,4095,7680.05112,7433.045892,4496.994344,7680.05112,1,231252.7778,0.001879319,0.006967237,0.696723671,57086172.43,9.268299983,1,0.001674505
30,4095,8505.297149,6751.362885,4417.818866,8505.297149,1,230238.346,0.002047937,0.006967237,0.696723671,57422347.5,8.505190379,1,0.001854436
35,4095,9372.647568,6155.46561,4408.479164,9372.647568,1,228749.846,0.002221202,0.006967237,0.696723671,57693009.77,7.84174284,1,0.002043547
40,4095,10282.10238,5620.933385,4225.489338,10282.10238,1,227840.577,0.002418486,0.006967237,0.696723671,57795012.51,7.202064884,1,0.002241839
45,4095,11233.66157,5155.265071,4123.201681,11233.66157,1,226722.0942,0.002618676,0.006967237,0.696723671,57912503.12,6.651487721,1,0.00244931
50,4095,12227.32516,4742.413038,4013.018387,12227.32516,1,225641.0907,0.002829432,0.006967237,0.696723671,57987026.25,6.156038453,1,0.002665962
